2024-12-18 10:45:08.118960,GPT,hello,Hello! How can I assist you today with HIV prevention or PrEP counseling?,0.9920506477355957,Advanced
2024-12-18 10:45:21.738322,GPT,hello there,Hello! I'm here to help you with information about HIV prevention and PrEP. How can I assist you today?,1.0710842609405518,Medium
2024-12-18 10:49:30.183780,GPT,can you tell me what hiv is?,"Sure! 

- **HIV** stands for **Human Immunodeficiency Virus**.
- It attacks the body's immune system, making it harder to fight infections.
- If untreated, HIV can lead to **AIDS** (Acquired Immunodeficiency Syndrome), the late stage of HIV infection.
- HIV is mainly spread through unprotected sex or sharing needles.

If you have more questions, feel free to ask!",5.596266508102417,Basic
2024-12-18 10:49:44.645301,GPT,can you tell me what hiv is,"HIV, or human immunodeficiency virus, is a virus that attacks the body's immune system, specifically targeting CD4 cells (T cells). If untreated, HIV can lead to AIDS (acquired immunodeficiency syndrome), the late stage of infection where the immune system is severely damaged. HIV is primarily transmitted through unprotected sex, sharing needles, or from a mother to child during childbirth or breastfeeding. Regular testing and treatment can help manage the virus and prevent transmission.",1.8458034992218018,Advanced
2024-12-18 13:27:04.047796,GPT,Hi there,Hello! How can I assist you today with information about HIV prevention or PrEP?,0.9482121467590332,Basic
2024-12-18 13:27:22.229122,GPT,I want you to tell me about Prep,"PrEP, or pre-exposure prophylaxis, is a preventative medication for individuals at high risk of HIV. 

### Key Points:
- **Form**: Available as a daily pill (Truvada) or a bimonthly injection (CAB-LA).
- **Effectiveness**: Reduces the risk of HIV from sex by about 99% when taken daily.
- **Prescription**: Requires a healthcare provider's prescription and regular check-ups.
- **Side Effects**: Minor side effects may include nausea, headache, and dizziness, typically resolving within weeks.
- **Additional Protection**: Does not protect against other STDs; using condoms alongside PrEP is recommended.

For more details, feel free to ask!",2.5550358295440674,Advanced
2024-12-18 13:27:42.456017,GPT,Test,"It seems like you might want to know about HIV testing. 

### Key Points about HIV Testing:
- **Importance**: The only way to know if you have HIV is to get tested.
- **Who Should Test**: Everyone ages 13 to 64 should get tested at least once. Those with risk factors should test more often.
- **Testing Frequency**: If you've had multiple partners or share needles, consider testing every 3-6 months.
- **Types of Tests**: Some tests are quick and take just 20 minutes!

If you have more specific questions, feel free to ask!",2.369701623916626,Basic
2024-12-18 15:06:35.918257,GPT,hello there! what's hiv,"Hello! HIV stands for Human Immunodeficiency Virus. It's a virus that attacks the body's immune system, which helps keep us healthy. If not treated, HIV can lead to AIDS, a serious condition that makes it hard for the body to fight infections. HIV is mainly spread through unprotected sex or sharing needles. If you have more questions, feel free to ask!",1.976163625717163,5th Grade
2024-12-18 15:06:45.741396,GPT,what's hiv,"HIV stands for Human Immunodeficiency Virus. It's a virus that attacks the body's immune system, which helps keep us healthy. If untreated, HIV can lead to AIDS (Acquired Immunodeficiency Syndrome), a serious condition that weakens the immune system. HIV is mainly spread through unprotected sex or sharing needles. If you have more questions, feel free to ask!",1.6576335430145264,8th Grade
2024-12-18 15:07:02.489994,GPT,what's hiv,"HIV stands for Human Immunodeficiency Virus. It is a virus that attacks the body's immune system, specifically targeting CD4 cells, which are crucial for fighting infections. If left untreated, HIV can lead to AIDS (Acquired Immunodeficiency Syndrome), a condition that severely weakens the immune system. HIV is primarily spread through unprotected sex or sharing needles. If you have more questions or need more information, feel free to ask!",3.1059625148773193,College
